...Comp Geom...
14 Num Comps
14 Total Num Meshes
57372 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
  726.552    702.916   1070.186   1070.186  vol_Cargo+Crew 
  551.812      6.548    947.415     12.067  Crew+Cargo_Internal
  121.839      0.000     12.745      0.000  Floor          
  197.336      0.000    173.797      0.000  Level 1        
  197.336      0.000    173.797      0.000  Level 2        
  187.619      0.000    164.517      0.000  Level 3        
  151.366      0.000    122.719      0.000  Level 4        
   97.839      0.000     57.688      0.000  New_Level 5    
    1.647      0.000      0.059      0.000  Crew_1         
    1.616      0.000      0.058      0.000  Crew_2         
    1.785      0.000      0.062      0.000  Crew_3         
    1.647      0.000      0.059      0.000  Crew_4         
    1.616      0.000      0.058      0.000  Crew_5         
    1.785      0.000      0.062      0.000  Crew_6         
-------------------------------------------------
 2241.797    709.464   2723.221   1084.109  Totals         
