...Mass Properties...
92 Num Comps
92 Total Num Meshes
69360 Total Num Tris

166033.870368             Total Mass
87.597196 0.000755 -0.000682       Center of Gravity
3878738.407976 129827226.976905 130650818.200505       Ixx, Iyy, Izz
-4458.973332 4037.251943 979.799293       Ixy, Ixz, Iyz
4477.771684             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
SuperHeavy Fuse	83446.357106	84.720954	0.000000	0.000000	1662242.103674	38113253.252827	38113251.515530	-0.000000	-0.000000	-0.320739	433.771132
Long Walls	1048.297204	52.029653	5.281942	4.348586	1773.602559	493.575906	1380.387447	0.035585	0.040488	767.663910	0.131037
Long Walls	1048.296371	52.029653	6.407015	2.400037	1773.237034	493.501154	1380.096594	0.243266	0.102638	767.516267	0.131037
Short Walls	499.419881	52.029653	3.900844	2.244854	214.035819	184.383996	77.464767	-0.042856	0.008576	-92.558684	0.062427
Short Walls	518.265957	52.029653	7.794300	4.500225	214.869954	185.850378	78.636786	-0.070520	0.056574	-92.942651	0.064783
Angle0	354.671517	52.029653	4.103291	3.018403	68.681714	80.960485	21.676404	-0.012203	-0.013092	17.143451	0.044334
Angle1	722.919806	52.029653	4.873125	2.818704	580.033119	575.542642	73.700626	0.026486	0.166175	145.024668	0.090365
Angle4	722.910599	52.029653	6.818303	3.931619	580.018426	575.513480	73.714213	-0.023992	0.086181	145.049621	0.090364
Angle6	353.772542	52.029653	7.587619	3.729893	68.171700	80.439031	21.601779	0.010482	0.012163	17.021889	0.044222
Angle8	699.099003	52.029653	4.889574	2.807686	571.226188	71.838530	566.317276	-0.120510	0.015851	-142.608383	0.087387
Angle9	698.603936	52.029653	5.870468	3.395495	562.793460	71.231846	558.443835	-0.296220	0.059391	-140.468017	0.087325
Angle11	699.091159	52.029653	6.802109	3.942221	571.278008	71.832600	566.374274	-0.085415	0.015165	-142.605215	0.087386
Angle10	690.850005	52.029653	5.878131	3.394611	572.282557	566.737094	71.685346	-0.019951	0.016696	143.171881	0.086356
Angle12	342.514789	52.029653	4.666748	2.044041	68.394623	21.041990	80.143960	-0.004791	-0.019641	-17.021966	0.042814
Angle13	338.598878	52.029653	7.033231	4.703779	66.106107	20.715157	77.807379	-0.006186	-0.017159	-16.476573	0.042325
Long Walls	1045.154726	52.029653	6.404036	-2.398312	1768.469792	492.170033	1376.359701	-0.121654	0.018702	-765.456388	0.130644
Long Walls	1049.437318	52.029653	5.283064	-4.349225	1774.898136	493.950089	1381.417992	-0.173055	0.093115	-768.219434	0.131180
Short Walls	497.302710	52.029653	3.900924	-2.244578	213.960554	184.251261	77.319546	0.019529	0.009526	92.512610	0.062163
Short Walls	519.067397	52.029653	7.794414	-4.499959	214.956540	185.956879	78.693599	0.045019	0.064547	92.977320	0.064883
Angle0	353.921585	52.029653	4.667232	-2.043893	68.263228	21.579195	80.567412	-0.030581	0.004555	16.982435	0.044240
Angle1	722.919806	52.029653	4.877632	-2.810898	580.074208	73.562209	575.722148	0.197880	0.043055	144.790560	0.090365
Angle4	722.910599	52.029653	6.814033	-3.939014	580.248297	73.552786	575.904778	0.044791	0.002519	144.799634	0.090364
Angle6	354.668246	52.029653	7.025854	-4.705603	68.686989	21.646413	80.995438	0.023731	0.012538	17.094051	0.044334
Angle8	699.099003	52.029653	4.876314	-2.830652	571.159519	566.133326	71.955810	-0.038185	-0.021944	-142.802085	0.087387
Angle9	698.438089	52.029653	5.875729	-3.385873	562.055501	557.582197	71.339647	0.005215	-0.048376	-140.570258	0.087305
Angle11	699.091159	52.029653	6.815119	-3.919689	570.938831	565.916226	71.951471	-0.045191	0.144244	-142.766691	0.087386
Angle10	690.850005	52.029653	5.878885	-3.393305	572.455752	71.456170	567.139466	-0.145441	-0.007628	142.798756	0.086356
Angle12	342.514789	52.029653	4.103565	-3.019502	68.371684	80.088406	21.074604	-0.014575	0.032588	-17.075005	0.042814
Angle13	338.598878	52.029653	7.590208	-3.739068	66.122430	77.816683	20.722175	-0.005832	-0.005763	-16.489541	0.042325
Long Walls	1045.154726	52.029653	-6.404036	2.398312	1768.489832	492.175425	1376.374349	-0.168163	0.072970	-765.465286	0.130644
Long Walls	1046.794176	52.029653	-5.280541	4.347794	1771.387505	492.968616	1378.635787	0.054730	-0.018131	-766.713040	0.130849
Short Walls	499.423661	52.029653	-3.900975	2.244626	213.952586	184.347153	77.418740	0.002603	0.070821	92.508223	0.062428
Short Walls	519.067397	52.029653	-7.794414	4.499959	214.955270	185.955912	78.693296	-0.096726	-0.116372	92.976845	0.064883
Angle0	354.671517	52.029653	-4.665659	2.044353	68.713478	21.650188	81.018465	-0.066947	-0.011245	17.103193	0.044334
Angle1	722.919806	52.029653	-4.877632	2.810898	580.078241	73.562381	575.726008	0.059852	0.028732	144.791454	0.090365
Angle4	722.910599	52.029653	-6.814033	3.939014	580.245895	73.551811	575.903351	-0.136826	0.003652	144.799418	0.090364
Angle6	354.553393	52.029653	-7.025612	4.705676	68.622122	21.635363	80.930624	-0.072383	0.002249	17.075813	0.044319
Angle8	699.099003	52.029653	-4.876314	2.830652	571.154137	566.128772	71.954983	0.010507	0.000949	-142.799931	0.087387
Angle9	698.603936	52.029653	-5.875819	3.386227	562.449609	557.960246	71.371584	-0.085122	0.122884	-140.663809	0.087325
Angle11	699.091159	52.029653	-6.815119	3.919689	570.935701	565.914482	71.950085	-0.021025	0.063583	-142.763648	0.087386
Angle10	690.850005	52.029653	-5.878885	3.393305	572.448348	71.455476	567.132756	0.333104	0.070200	142.796257	0.086356
Angle12	342.514789	52.029653	-4.103565	3.019502	68.372583	80.089206	21.074704	-0.006837	0.024560	-17.075298	0.042814
Angle13	318.776350	52.029653	-7.579399	3.696829	55.730870	67.120518	19.129032	-0.037542	0.024950	-13.992271	0.039847
Long Walls	1049.799400	52.029653	-5.283398	-4.349409	1775.640339	494.142029	1382.002918	-0.092551	0.009938	768.537131	0.131225
Long Walls	1049.799400	52.029653	-6.408398	-2.400852	1775.121270	494.058730	1381.567149	-0.105164	-0.014238	768.340145	0.131225
Short Walls	499.419881	52.029653	-3.900844	-2.244854	214.038804	184.386232	77.465517	0.003461	-0.009040	-92.560065	0.062427
Short Walls	519.067397	52.029653	-7.794286	-4.500181	214.870484	185.889266	78.675155	-0.019874	0.015459	-92.942298	0.064883
Angle0	354.671517	52.029653	-4.103291	-3.018403	68.680815	80.959685	21.676305	-0.023433	0.020238	17.143158	0.044334
Angle1	722.919806	52.029653	-4.873125	-2.818704	580.024741	575.535371	73.699519	0.030359	0.074451	145.021630	0.090365
