...Mass Properties...
19 Num Comps
18 Total Num Meshes
50224 Total Num Tris

170163.623190             Total Mass
41.135494 0.000053 -0.000155       Center of Gravity
3326714.699254 29251880.632543 29252751.982688       Ixx, Iyy, Izz
-103.914746 -159.104984 150.124630       Ixy, Ixz, Iyz
2841.076915             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Starship Fuse	52698.984489	26.648384	-0.001102	-0.001266	976608.679711	10462966.607813	10463790.926610	-772.268380	-1014.943227	-160.382153	432.178584
vol_CH4Tank_2	0.115717	27.818508	-3.525300	-0.167519	0.901972	1.062258	0.364867	0.002318	0.000098	0.015490	580.443923
CH4_HeaderTank	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.961219
vol_LOXTank_2	0.197913	36.747325	3.671036	0.281606	1.324980	3.878742	2.854892	0.042268	0.033340	-0.116064	782.979655
LandingGearPod	17563.276418	47.915509	-0.004859	4.644683	3455.444602	28960.329881	31506.919714	51.252755	19.949904	-5.367861	2.927213
LandingGearPod	17563.138153	47.915503	-4.024841	2.318141	3503.888051	30882.401424	29633.239198	7.045649	55.724129	1164.391265	2.927190
LandingGearPod	17560.951237	47.915701	-4.020058	-2.326481	3434.072064	30876.105388	29559.829528	-42.556987	33.799367	-1087.661693	2.926825
LandingGearPod	17563.276431	47.915509	0.004859	-4.644683	3455.454132	28960.326658	31506.932655	-52.809065	-22.685549	-5.522791	2.927213
LandingGearPod	17563.138346	47.915503	4.024841	-2.318141	3503.899797	30882.334409	29633.318119	-5.661992	-55.503996	1164.495099	2.927190
LandingGearPod	17578.375356	47.906410	4.019869	2.326465	3434.662300	32406.210893	31090.309492	73.075467	-30.122462	-1087.409314	2.929729
Raptor_SL	1608.397390	48.570493	-0.000000	0.900000	248.215435	1636.416162	1632.137890	-0.201394	0.418801	0.030533	2.802086
Raptor_SL	1608.397390	48.570493	-0.779423	-0.450000	266.358790	1650.717747	1635.979661	0.001040	-0.255045	7.360370	2.802086
Raptor_SL	1608.397390	48.570493	0.779423	-0.450000	265.256704	1650.192381	1635.402940	-0.167326	-0.445955	5.037257	2.802086
Raptor_Vac	1988.020240	48.716794	-0.000000	-2.500000	1029.149086	2491.655212	2487.214370	0.614064	-1.167292	11.585460	8.569053
Raptor_Vac	1988.020240	48.716794	2.165064	1.250000	1025.669930	2491.073054	2484.317372	-0.139434	-0.833651	11.813940	8.569053
Raptor_Vac	1988.020240	48.716794	-2.165064	1.250000	1024.612312	2490.649390	2483.683418	-0.301104	-0.587458	9.720272	8.569053
vol_LOXheader	6.633556	0.038344	0.000000	0.000000	0.166873	0.085102	0.085375	0.000000	-0.000000	-0.000000	19.603995
Crew+Cargo_Internal	1176.282687	13.804863	0.000005	-0.000012	10650.577948	32445.996302	32440.632405	-1.204800	-2.674711	13.154121	960.230765
Landing Gear Parent	100.000000	44.988862	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	170163.623190	41.135494	0.000053	-0.000155	3326714.699254	29251880.632543	29252751.982688	-103.914746	-159.104984	150.124630	2841.076915
